"long","lat","2012-01-01","2012-01-09","2012-01-17","2012-01-25","2012-02-02","2012-02-10","2012-02-18","2012-02-26","2012-03-05","2012-03-13","2012-03-21","2012-03-29","2012-04-06","2012-04-14","2012-04-22","2012-04-30","2012-05-08","2012-05-16","2012-05-24","2012-06-01","2012-06-09","2012-06-17","2012-06-25","2012-07-03","2012-07-11","2012-07-19","2012-07-27","2012-08-04","2012-08-12","2012-08-20","2012-08-28","2012-09-05","2012-09-13","2012-09-21","2012-09-29","2012-10-07","2012-10-15","2012-10-23","2012-10-31","2012-11-08","2012-11-16","2012-11-24","2012-12-02","2012-12-10","2012-12-18","2012-12-26"
34.894592310761,-2.54891057676795,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34.8946220021394,-2.56912883222728,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34.8946519288863,-2.58934708092474,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.8946820910202,-2.60956532280725,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,0,0,0
34.8947124885597,-2.62978355782171,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0
34.9144918751224,-2.40735436511985,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
34.9145202165544,-2.42757242899363,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
34.9145487957221,-2.44779048647049,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
34.9145776126433,-2.46800853749727,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
34.9146066673358,-2.48822658202082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
34.9146359598174,-2.50844461998797,0,0,0,0,1,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
